Company Name,High,Low,Last Price,Prv Close,Change,% Gain,API
Intrasoft Tech,49.70,46.55,49.45,47.35,2.10,4.47,/india/stockpricequote/miscellaneous/intrasofttechnologies/IT04 
Lloyd Electric,137.70,129.80,135.10,129.40,5.70,4.44,/india/stockpricequote/consumergoods-whitegoods/lloydelectricengineering/LEE 
Shreyans Ind,35,30.50,32,30.65,1.35,4.40,/india/stockpricequote/paper/shreyansindustries/SI20 
Chemfab Alkalie,93.90,89,93,89.10,3.90,4.40,/india/stockpricequote/chemicals/chemfabalkalies/CA01 
Bombay Burmah,438.90,412.55,430.50,412.55,17.95,4.38,/india/stockpricequote/plantations-teacoffee/bombayburmahtradingcorporation/BBT 
IGL,458.80,437,456.50,437.60,18.90,4.35,/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04 
Jubilant Ind,79,71.50,76.15,73,3.15,4.32,/india/stockpricequote/miscellaneous/jubilantindustries/JI10 
Jet Airways,268.70,257.60,267.10,256.20,10.90,4.32,/india/stockpricequote/transportlogistics/jetairways/JA01 
Birla Nifty ETF,85.50,84.95,85.45,82,3.45,4.25,/india/stockpricequote/finance-investments/birlasunlifeniftyetf/BSL03 
Guj State Petro,114.80,109.90,112.40,107.90,4.50,4.21,/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02 
Compuage Info,165.90,155,161.45,155,6.45,4.17,/india/stockpricequote/computers-hardware/compuageinfocom/CI29 
Arvind Remedies,33.95,32.25,33.20,31.90,1.30,4.16,/india/stockpricequote/pharmaceuticals/arvindremedies/AR06 
Rel Capital,525,504.80,522,501.75,20.25,4.08,/india/stockpricequote/finance-investments/reliancecapital/RC 
